GPA,STEM,Demographic,Income,Athletics,Scholarship
3.9365579395788948,0,Other minority,Low,1,1
3.506271141486804,1,Asian,Upper,1,1
2.2962298181866867,1,Asian,Middle,1,1
3.9769601514111654,1,Black,Middle,0,1
1.5494028625447585,0,Hispanic,Middle,1,0
3.529978269132982,1,Black,Middle,0,1
1.1181354975993674,0,Asian,Upper,0,0
3.9988431385525796,1,Asian,Middle,1,1
3.691785505054877,1,White,Low,0,1
3.2566179164408013,1,Other minority,Upper,1,0
3.1329460343712916,1,Black,Upper,0,1
3.6320259103627577,1,Other minority,Upper,1,0
3.049252901320957,1,Other minority,Upper,0,0
3.7542895269309424,1,Asian,Middle,0,1
3.0091161833766757,1,Black,Low,0,1
3.9678363500229574,1,Hispanic,Upper,0,0
3.310992876902006,0,Asian,Upper,0,0
3.1591773008128534,0,Other minority,Upper,0,0
1.5114956860808175,1,Black,Low,0,1
3.2176628327681276,0,Other minority,Middle,0,0
3.8256154351305183,0,Hispanic,Upper,0,0
3.0159886030605363,1,Black,Upper,0,1
3.135384424580764,1,Other minority,Low,1,1
3.88310938874096,0,Other minority,Low,0,0
2.271478328061316,1,Hispanic,Middle,1,0
1.8704248727878598,0,Other minority,Middle,1,0
1.093255015573524,0,Asian,Upper,1,0
3.007358255790268,0,Asian,Middle,0,0
1.2976552701665414,0,Black,Middle,1,1
3.65057981040316,0,Hispanic,Low,0,1
3.3147531064646274,0,Asian,Middle,1,1
1.8967306467995024,0,Other minority,Low,0,0
2.2761027302425565,0,Asian,Upper,0,0
1.0950833398206485,1,Asian,Upper,0,0
3.124757913407612,0,Hispanic,Middle,0,0
3.2509261112402434,0,Other minority,Middle,1,0
3.7869058763379777,1,Hispanic,Middle,1,1
3.351272398769801,1,Asian,Low,1,1
3.5158471636953514,0,Asian,Low,0,1
3.5740674765628553,1,Black,Upper,1,1
1.9834758230609915,0,White,Middle,0,1
3.9909079730022277,1,Black,Middle,0,1
3.9813775663210578,0,Black,Low,0,1
3.550237009969093,0,Other minority,Middle,1,0
1.2131148505305764,0,Asian,Upper,0,0
3.2032051823257164,1,Asian,Middle,0,1
3.270758520367393,1,White,Middle,1,1
2.3660904777757192,0,Other minority,Middle,0,0
3.2375278391741524,1,White,Low,1,1
3.1456683042654126,0,Black,Middle,1,1
3.020191565601509,1,White,Low,1,1
3.300700068961669,1,Other minority,Upper,1,0
3.203441198844862,1,Asian,Middle,1,1
3.249941626767101,1,White,Middle,0,1
3.802572581061536,1,Black,Low,1,1
3.5252158898827224,1,Hispanic,Low,0,1
1.3639517187203207,0,Asian,Middle,1,0
1.8788415707303003,0,Asian,Middle,0,0
1.4889297396441283,0,Asian,Middle,0,0
1.970889451018321,0,Asian,Low,1,1
2.000005885520638,1,Asian,Low,0,1
1.0576533273000512,1,White,Upper,1,1
1.5478707001530858,1,Asian,Middle,1,1
3.2307511833120723,0,Other minority,Upper,0,0
3.1705730530694067,0,White,Middle,0,1
1.953407888918406,0,Other minority,Upper,0,0
2.3505822159040592,1,Hispanic,Middle,0,0
3.5237334474026363,0,Hispanic,Low,1,1
3.34593990508498,1,Hispanic,Upper,0,0
3.133772755359267,1,Asian,Low,1,1
1.1759023070912398,1,Other minority,Low,1,0
3.1619379178626947,0,Black,Upper,1,1
3.685761139594418,1,Black,Middle,0,1
3.235113422052082,0,Asian,Upper,1,0
3.9357098161003425,0,Other minority,Upper,0,0
3.2095761373544924,0,Asian,Upper,1,0
3.3096652557588406,1,Other minority,Upper,0,0
3.0674913739613525,1,White,Upper,1,1
3.646616082316568,1,Other minority,Upper,0,0
2.046565330097521,1,Asian,Upper,0,0
1.672099864701578,0,Black,Low,0,1
1.8858484451027189,1,Black,Middle,1,1
3.148394039032964,0,Other minority,Low,1,0
3.610065384499701,0,White,Upper,0,1
1.5364793484102344,1,Other minority,Upper,1,0
3.926326996731136,0,Black,Upper,0,1
3.0531679709873676,0,Asian,Upper,1,0
3.363224622394121,1,Black,Middle,1,1
3.106368889752286,1,Hispanic,Middle,0,0
2.1175717450136373,0,Asian,Upper,1,0
3.8893150729022343,1,Other minority,Middle,0,0
1.0369493787144646,1,Hispanic,Middle,0,0
3.8581133636947635,0,Hispanic,Middle,1,1
3.2916365008228405,0,Other minority,Upper,1,0
1.2343788583737645,0,Hispanic,Middle,1,0
1.2110071079869906,0,Other minority,Low,0,0
3.5754932258939163,1,White,Low,1,1
3.601849246842213,1,Hispanic,Middle,1,1
3.3035666509237704,0,Black,Middle,1,1
3.8864516728823846,0,Black,Middle,0,1
3.8906206193797717,1,Hispanic,Middle,0,1
2.1183027495999918,1,Other minority,Low,0,0
3.211362192611766,0,Black,Low,1,1
2.2629876942152967,0,Hispanic,Middle,0,0
3.9963189527633345,1,Hispanic,Low,1,1
3.096450620105017,1,Black,Low,0,1
1.564929289741612,1,Asian,Upper,0,0
3.731391202085898,0,White,Low,1,1
3.622284717831802,1,White,Middle,0,1
3.0445628081491045,1,Black,Middle,1,1
3.5768501451238737,0,Black,Upper,0,1
3.6523539608735995,0,Black,Low,0,1
1.6298099247684679,0,Hispanic,Upper,1,0
2.263730618670781,1,Asian,Low,0,1
1.3793469688435631,1,Other minority,Low,0,0
3.2736428570173453,0,Other minority,Upper,1,0
3.5392160574633382,0,Other minority,Middle,0,0
3.2574494446952906,0,Asian,Middle,1,1
3.3387613393693956,1,Hispanic,Middle,1,1
3.3148838449414235,0,Black,Middle,0,1
3.815547209079363,1,White,Low,0,1
3.3940205853412144,0,Hispanic,Middle,1,0
3.0552972109381824,0,White,Middle,0,1
3.876265456995096,0,Black,Upper,0,1
3.825516400582967,1,Hispanic,Low,1,1
1.5615945652518415,0,Other minority,Low,1,0
1.2700967713941669,1,Other minority,Low,1,0
3.963420423520563,0,Hispanic,Middle,0,0
1.771905269239622,1,Black,Upper,1,1
3.9843434912318565,1,White,Low,0,1
3.0520505607593944,1,Asian,Low,0,1
3.116250404471667,1,Black,Middle,1,1
3.3675375032097112,0,Black,Low,0,1
1.46853021536978,1,Other minority,Low,0,0
1.436580933127939,1,Black,Upper,0,0
3.134914427751075,1,White,Upper,1,1
1.379287052721133,1,Asian,Middle,0,0
3.2407565691499247,0,Black,Low,1,1
3.160945279122523,1,Other minority,Middle,0,0
3.0751561979432727,1,White,Upper,0,1
3.7969200692844187,1,Other minority,Upper,1,0
3.8467466309781253,0,Other minority,Low,1,1
2.0949922012683597,1,Other minority,Upper,1,0
3.224561737404752,0,White,Middle,1,1
3.6144193584455664,1,Black,Low,1,1
3.1092343215933687,0,Black,Upper,0,0
3.684213142878263,1,Asian,Upper,1,1
3.991595437161705,1,White,Middle,1,1
3.671648020091102,1,Other minority,Middle,0,0
1.8697962837136286,1,White,Upper,1,1
1.5512840247148418,1,White,Low,1,1
3.578949875600927,0,White,Middle,1,1
2.3422162624052048,0,Other minority,Low,0,0
3.058932591514217,0,Asian,Upper,0,0
3.7183904187498023,0,White,Low,0,1
1.5808636527206104,1,Asian,Middle,0,0
3.6420618080508076,1,Hispanic,Upper,0,0
1.0278079667090139,0,Black,Middle,1,1
3.5955909815484968,0,Hispanic,Low,0,1
1.3357171265916166,0,White,Upper,1,1
1.2603700674785432,0,Hispanic,Low,1,0
3.3332353639221135,1,Other minority,Upper,0,0
3.7436453382655883,1,Hispanic,Low,1,1
2.228265941879704,1,Hispanic,Upper,0,0
3.3015026574734256,1,White,Middle,1,1
3.95775174211424,0,Black,Upper,0,1
3.5441642025749305,0,Other minority,Middle,1,0
3.956475477513817,0,Black,Low,1,1
3.580629740486994,0,Hispanic,Middle,1,1
1.1283481036551397,1,Black,Upper,1,1
3.2262466703133263,1,Other minority,Middle,0,0
3.9402231581054528,1,White,Low,0,1
3.885243179290664,0,Asian,Upper,1,1
1.604348734179459,0,Black,Upper,0,0
2.0149784670816517,0,Black,Middle,1,1
3.505000990630251,1,White,Middle,1,1
3.1562594673670956,0,Asian,Upper,1,0
1.4735280677666325,0,Other minority,Low,1,0
1.4545443061121084,1,White,Low,0,1
3.7732732115813077,1,Asian,Upper,0,1
1.8580520946585706,0,White,Middle,1,1
3.318736970588339,0,Asian,Middle,1,1
3.7022139960508857,0,Hispanic,Upper,1,0
